close_time,volume,n_trades,RSI,Will,CCI,ROC,ADX,TRIX,OBV,MFI,BOP,DX,ATR,STOCH_K,STOCH_D,Price_Change_pct,PREV_TARGET,TARGET,marketcap_usd,google_trends,median_transaction_value_usd,maximum_single_transaction_value_usd,new_coins_generated,fees_usd,difficulty,number_of_blocks,VPT,PVO
2018-01-16,63401.169175,418243,24.58301937993842,-68.5692521335832,-219.04310215829497,-24.30555555555556,46.37061411267133,-1.0142646535811428,-30918.82839400001,26.71497300549559,-0.576761396028776,76.54492673047285,2179.0326654069986,31.43074786641679,42.23735676570219,-0.1925925925925926,0,1.0,193121120762.0,53.9,229.85,48152866.8,1987.5,6840854.15,2227847638503.63,159,-12290.94654946872,9.650072487800738
2018-01-17,72331.796646,517293,25.72575325327965,-67.07287888797507,-134.37859497954065,-26.28480810137994,50.68123020092869,-1.404887079571404,41412.96825199999,21.69030148562704,0.0335975482870173,76.54492673047282,2245.320856063141,32.92712111202493,40.08325430184475,0.0081467964649509,1,0.0,188070430523.0,70.0,248.53,156277800.0,2087.5,7535901.74,2227847638503.63,167,-11772.353843331151,15.700220198729156
2018-01-18,48464.434937,393112,25.58911486491016,-65.24851217312896,-70.23601318562123,-17.198034864239766,53.59502499488828,-1.737891865004959,-7051.466685000007,39.94459540923484,-0.007357169083264,71.07779375864584,2130.7735909112644,34.75148782687104,40.50010812383388,-0.0009678662922792,0,1.0,192907550323.0,51.8,223.51,55877570.94,2162.5,7341171.5,2227847638503.63,173,470.9198772354896,12.33107912103345
2018-01-19,34129.375421,273271,33.47423566378018,-55.99675383228134,-48.31764313903566,-16.48492250005641,56.14863286209215,-1.9218955593032103,27077.90873599999,43.18934503306122,0.3588710801393725,71.47028006531536,2031.3773636382264,44.00324616771866,40.96564230276244,0.0469872262773722,1,1.0,195158837708.0,36.4,201.39,129262260.55,2062.5,5666640.14,2227847638503.63,165,1478.9373772044648,6.717474828738801
2018-01-20,28768.857827,251647,49.5748600606754,-29.023659157319248,31.17393093164877,-9.923011963406047,53.06817980260863,-1.8405160986292304,55846.76656299999,46.48969315636148,0.7856037472947742,34.585461445707494,1982.1163116899083,70.97634084268076,44.062463627564895,0.1154651249936819,1,0.0,216907619830.0,30.8,204.54,150073904.21,2225.0,5484258.03,2227847638503.63,178,4919.0227900448135,1.671187545191028
2018-01-21,41379.773426,360207,39.01588941961917,-52.15714699357046,5.754513285901422,-14.43407379152044,51.16871507859104,-1.7707590488424183,14466.99313699999,43.00305933480419,-0.6920645301940265,39.77192673448543,1961.091124305636,47.84285300642954,44.87503020804115,-0.0992046750730479,0,0.0,195089460991.0,19.68,147.96,34649790.0,2337.5,3965815.08,2227847638503.63,187,-783.6749064155047,0.4482300071588057
2018-01-22,43752.606791,363264,33.907520757570545,-61.73299053002156,-63.59642024336928,-20.53097763430092,51.09281461554173,-1.782170089808066,-29285.613654000008,34.42740385756477,-0.3800139182966376,50.63741183724599,1970.3795351191168,38.26700946997845,42.88554375601717,-0.0667779705117086,0,1.0,183866421285.0,23.04,162.22,101753394.48,2087.5,3402383.6,2227847638503.63,167,-7027.184957435307,-0.2810228326535338
2018-01-23,37473.922552,355286,34.41665045279402,-56.63102736723909,-71.66858803629611,-0.9249541284403696,51.0277570757852,-1.8006676494612628,8188.308897999996,37.52590636578012,0.0261914323962523,50.63741183724599,1902.3253158163857,43.3689726327609,44.59100443692347,0.003636600201672,1,1.0,182830257190.0,22.56,170.72,46114749.72,2212.5,3107749.99,2227847638503.63,177,-2785.4326117897367,-2.1151800727388306
2018-01-24,27158.587762,293429,41.781684792168434,-54.67775012817467,-26.01662455827097,3.286986101290479,50.15334687509132,-1.7294768725975795,35346.89666,53.69311533340245,0.5145822434795612,44.906885670927984,1783.4902706997589,45.32224987182533,46.36173711689495,0.0510086914328363,1,0.0,188515444410.0,20.16,172.52,57409439.94,2200.0,3240105.49,2227847638503.63,176,1521.4959709943491,-5.198436653133275
2018-01-25,20839.954183,221040,40.11455005024999,-60.13986669834559,-6.101874144956423,1.9458181330545663,48.271531217242845,-1.6257821683107077,14506.942476999997,48.40023113342333,-0.2070179180887356,36.98063727015201,1649.2545177426505,39.86013330165441,47.09154361329258,-0.0153912436695811,0,0.0,189455303272.0,19.2,152.16,74694296.09,1975.0,2468240.81,2603077300218.59,158,1064.4112479685127,-8.314033900847235
